Id2,s_abbrev,state,fifty_k_plus,bac_34to44,bac_25to35,correlation34,correlation25
1,AL,Alabama,38.8,26.2,25.1,0.638155101,0.518981082
2,AK,Alaska,55.6,30.6,24.2,,
4,AZ,Arizona,40.8,29.5,26,,
5,AR,Arkansas,32.9,23.8,24.1,,
6,CA,California,44.6,33.7,33.2,,
8,CO,Colorado,53,42.9,37.7,,
9,CT,Connecticut,56.5,43.5,40.9,,
10,DE,Delaware,48.4,35.5,33.5,,
11,DC,District of Columbia,53.7,62.3,69.4,,
12,FL,Florida,40.1,29.3,27.8,,
13,GA,Georgia,41.5,32.3,29.9,,
15,HI,Hawaii,49.1,35.4,29.2,,
16,ID,Idaho,41.9,29,23.5,,
17,IL,Illinois,48.1,37.2,40.2,,
18,IN,Indiana,41.3,28.4,29,,
19,IA,Iowa,47.7,33.8,35.4,,
20,KS,Kansas,45.9,36.4,33.7,,
21,KY,Kentucky,37.4,25.9,27.1,,
22,LA,Louisiana,40.8,25.2,26.9,,
23,ME,Maine,42.9,31.8,32.1,,
24,MD,Maryland,58,42.5,41.6,,
25,MA,Massachusetts,54,46.8,50.1,,
26,MI,Michigan,44.7,32.2,31.5,,
27,MN,Minnesota,53.6,39.8,39.6,,
28,MS,Mississippi,30.5,23.5,23.9,,
29,MO,Missouri,44.5,32.4,33.3,,
30,MT,Montana,41.4,32.7,30.9,,
31,NE,Nebraska,46.6,33.9,36.6,,
32,NV,Nevada,44,23.1,22.3,,
33,NH,New Hampshire,55.8,40.3,37,,
34,NJ,New Jersey,55.9,43,42.5,,
35,NM,New Mexico,34.6,24.5,21.9,,
36,NY,New York,45.9,39.1,43.4,,
37,NC,North Carolina,40,33,31.6,,
38,ND,North Dakota,51.8,34.2,32.5,,
39,OH,Ohio,44,31,32.3,,
40,OK,Oklahoma,40.2,26.2,25.9,,
41,OR,Oregon,43.4,35.3,32,,
42,PA,Pennsylvania,47.1,34.4,37.2,,
44,RI,Rhode Island,49.1,34.5,34.8,,
45,SC,South Carolina,37.7,29.1,27.5,,
46,SD,South Dakota,45.2,33.1,30.6,,
47,TN,Tennessee,37.2,28.4,29.3,,
48,TX,Texas,42.4,30,28.8,,
49,UT,Utah,51.5,33.4,29.8,,
50,VT,Vermont,48.2,39.1,38.5,,
51,VA,Virginia,52.1,42.6,39.7,,
53,WA,Washington,51.9,37.1,33.6,,
54,WV,West Virginia,35.3,22.2,24.4,,
55,WI,Wisconsin,46.6,33,33.6,,
56,WY,Wyoming,50.7,25.9,26.7,,
72,PR,Puerto Rico,7.9,29.4,30.7,,
